datetime,1f_1,1f_but,2f_he,2f_2,1f_ele
2023-01-09 15:00:00,93,90,74,63,25
2023-01-09 16:00:00,113,66,75,34,26
2023-01-09 17:00:00,93,76,60,68,22
2023-01-09 18:00:00,144,74,64,34,25
2023-01-09 19:00:00,103,96,90,33,27
2023-01-09 20:00:00,123,82,98,36,20
2023-01-09 21:00:00,130,60,82,56,22
2023-01-09 22:00:00,67,70,32,19,23
2023-01-09 23:00:00,55,67,57,42,16
2023-01-10 00:00:00,81,31,65,28,17
2023-01-10 01:00:00,12,21,26,16,10
2023-01-10 02:00:00,26,15,12,11,11
2023-01-10 03:00:00,44,17,19,12,13
2023-01-10 04:00:00,13,22,33,10,13
2023-01-10 05:00:00,45,37,32,8,19
2023-01-10 06:00:00,10,12,16,5,16
2023-01-10 07:00:00,33,35,14,12,12
2023-01-10 08:00:00,19,31,15,18,11
2023-01-10 09:00:00,15,13,28,12,11
2023-01-10 10:00:00,40,19,32,13,15
2023-01-10 11:00:00,63,27,62,30,15
2023-01-10 12:00:00,89,51,63,39,17
2023-01-10 13:00:00,75,34,59,17,19
2023-01-10 14:00:00,52,69,68,35,23
2023-01-10 15:00:00,87,97,84,43,20
2023-01-10 16:00:00,124,80,99,49,24
2023-01-10 17:00:00,112,62,87,55,29
2023-01-10 18:00:00,138,77,87,59,22
2023-01-10 19:00:00,125,76,69,38,28
2023-01-10 20:00:00,102,67,87,43,20
2023-01-10 21:00:00,141,67,71,55,25
2023-01-10 22:00:00,57,35,55,34,19
2023-01-10 23:00:00,75,30,72,33,24
2023-01-11 00:00:00,43,55,69,36,20
2023-01-11 01:00:00,29,19,32,7,17
2023-01-11 02:00:00,11,26,29,6,15
2023-01-11 03:00:00,49,22,25,18,19
2023-01-11 04:00:00,20,10,27,8,12
2023-01-11 05:00:00,36,29,11,5,12
2023-01-11 06:00:00,45,10,36,10,12
2023-01-11 07:00:00,41,15,26,13,16
2023-01-11 08:00:00,28,15,31,13,19
2023-01-11 09:00:00,38,11,20,11,13
2023-01-11 10:00:00,32,23,24,11,19
2023-01-11 11:00:00,52,54,68,17,21
2023-01-11 12:00:00,70,39,30,33,20
2023-01-11 13:00:00,61,34,55,25,15
2023-01-11 14:00:00,82,42,40,16,16
2023-01-11 15:00:00,129,91,75,67,20
2023-01-11 16:00:00,126,85,92,34,24
2023-01-11 17:00:00,135,81,70,63,25
2023-01-11 18:00:00,83,89,80,37,21
2023-01-11 19:00:00,80,68,85,41,27
2023-01-11 20:00:00,133,76,93,31,28
2023-01-11 21:00:00,129,70,91,32,21
2023-01-11 22:00:00,34,50,43,37,23
2023-01-11 23:00:00,71,58,47,25,17
2023-01-12 00:00:00,78,33,69,15,16
2023-01-12 01:00:00,13,30,32,15,19
2023-01-12 02:00:00,22,33,21,16,11
2023-01-12 03:00:00,41,38,23,17,16
2023-01-12 04:00:00,31,17,29,16,12
2023-01-12 05:00:00,15,32,29,16,18
2023-01-12 06:00:00,12,37,11,17,15
2023-01-12 07:00:00,34,20,16,17,11
2023-01-12 08:00:00,48,36,38,17,17
2023-01-12 09:00:00,26,20,39,14,13
2023-01-12 10:00:00,39,37,31,13,10
2023-01-12 11:00:00,51,61,28,30,20
2023-01-12 12:00:00,74,63,29,37,24
2023-01-12 13:00:00,86,27,58,20,15
2023-01-12 14:00:00,51,31,54,15,15
2023-01-12 15:00:00,121,91,63,36,29
2023-01-12 16:00:00,107,89,67,57,21
2023-01-12 17:00:00,105,89,88,51,24
2023-01-12 18:00:00,138,79,67,53,25
2023-01-12 19:00:00,146,69,60,38,29
2023-01-12 20:00:00,92,84,67,39,21
2023-01-12 21:00:00,140,93,71,32,23
2023-01-12 22:00:00,40,47,47,24,24
2023-01-12 23:00:00,55,25,73,43,21
2023-01-13 00:00:00,32,63,42,27,15
2023-01-13 01:00:00,15,15,23,19,19
2023-01-13 02:00:00,38,39,11,8,12
2023-01-13 03:00:00,19,37,27,17,15
2023-01-13 04:00:00,33,18,17,8,19
2023-01-13 05:00:00,23,34,16,13,19
2023-01-13 06:00:00,23,39,37,7,14
2023-01-13 07:00:00,18,32,19,12,16
2023-01-13 08:00:00,11,17,14,15,12
2023-01-13 09:00:00,42,18,25,12,18
2023-01-13 10:00:00,26,16,25,8,16
2023-01-13 11:00:00,43,43,28,18,24
2023-01-13 12:00:00,49,67,61,31,24
2023-01-13 13:00:00,77,66,47,36,20
2023-01-13 14:00:00,68,33,57,28,19
2023-01-13 15:00:00,129,87,96,52,21
2023-01-13 16:00:00,145,73,97,46,27
2023-01-13 17:00:00,123,67,90,67,20
2023-01-13 18:00:00,148,99,65,45,24
2023-01-13 19:00:00,107,65,79,55,23
2023-01-13 20:00:00,137,91,80,53,21
2023-01-13 21:00:00,141,76,86,55,26
2023-01-13 22:00:00,74,28,34,30,15
2023-01-13 23:00:00,67,55,49,30,17
2023-01-14 00:00:00,62,52,37,16,8
2023-01-14 01:00:00,13,28,10,5,9
2023-01-14 02:00:00,10,17,18,7,9
2023-01-14 03:00:00,25,23,23,7,8
2023-01-14 04:00:00,37,13,20,6,8
2023-01-14 05:00:00,16,6,10,5,7
2023-01-14 06:00:00,30,28,22,7,6
2023-01-14 07:00:00,24,9,14,5,9
2023-01-14 08:00:00,19,10,18,5,8
2023-01-14 09:00:00,32,7,20,8,5
2023-01-14 10:00:00,22,22,24,6,6
2023-01-14 11:00:00,66,47,42,24,7
2023-01-14 12:00:00,20,51,38,24,9
2023-01-14 13:00:00,73,41,53,20,7
2023-01-14 14:00:00,70,37,31,12,6
2023-01-14 15:00:00,97,75,67,39,10
2023-01-14 16:00:00,83,73,73,21,14
2023-01-14 17:00:00,110,69,53,41,8
2023-01-14 18:00:00,115,59,85,35,14
2023-01-14 19:00:00,76,62,56,39,13
2023-01-14 20:00:00,121,66,78,28,9
2023-01-14 21:00:00,73,88,60,27,14
2023-01-14 22:00:00,53,46,34,10,6
2023-01-14 23:00:00,66,43,46,28,6
2023-01-15 00:00:00,63,37,51,27,6
2023-01-15 01:00:00,14,26,16,5,8
2023-01-15 02:00:00,37,16,19,6,6
2023-01-15 03:00:00,20,9,10,8,9
2023-01-15 04:00:00,18,19,8,9,8
2023-01-15 05:00:00,19,28,12,7,7
2023-01-15 06:00:00,18,15,28,6,6
2023-01-15 07:00:00,36,29,19,6,9
2023-01-15 08:00:00,35,21,5,8,8
2023-01-15 09:00:00,11,29,6,9,6
2023-01-15 10:00:00,24,9,12,5,7
2023-01-15 11:00:00,27,49,34,32,10
2023-01-15 12:00:00,61,34,16,24,10
2023-01-15 13:00:00,59,26,18,21,7
2023-01-15 14:00:00,67,33,30,28,8
2023-01-15 15:00:00,87,82,83,55,12
2023-01-15 16:00:00,72,56,81,38,7
2023-01-15 17:00:00,120,63,71,53,11
2023-01-15 18:00:00,124,72,89,33,10
2023-01-15 19:00:00,112,57,76,32,9
2023-01-15 20:00:00,128,77,85,56,10
2023-01-15 21:00:00,124,83,79,20,8
2023-01-15 22:00:00,69,25,27,22,11
2023-01-15 23:00:00,50,39,48,28,11
2023-01-16 00:00:00,37,44,72,41,19
2023-01-16 01:00:00,12,13,23,14,15
2023-01-16 02:00:00,18,30,24,10,19
2023-01-16 03:00:00,44,16,10,7,16
2023-01-16 04:00:00,20,14,29,6,16
2023-01-16 05:00:00,28,10,24,11,11
2023-01-16 06:00:00,32,13,28,7,14
2023-01-16 07:00:00,29,20,20,8,11
2023-01-16 08:00:00,35,22,24,10,13
2023-01-16 09:00:00,10,35,13,6,14
2023-01-16 10:00:00,20,27,31,19,11
2023-01-16 11:00:00,41,65,44,35,18
2023-01-16 12:00:00,46,59,52,30,17
2023-01-16 13:00:00,71,28,31,21,17
2023-01-16 14:00:00,76,46,34,22,20
2023-01-16 15:00:00,105,97,88,40,22
2023-01-16 16:00:00,94,73,92,37,21
2023-01-16 17:00:00,149,89,97,63,29
2023-01-16 18:00:00,115,83,97,46,21
2023-01-16 19:00:00,143,93,66,62,25
2023-01-16 20:00:00,122,77,82,44,25
2023-01-16 21:00:00,100,62,73,60,22
2023-01-16 22:00:00,41,40,60,27,24
2023-01-16 23:00:00,77,46,29,26,23
2023-01-17 00:00:00,82,48,66,43,24
2023-01-17 01:00:00,21,38,10,5,15
2023-01-17 02:00:00,42,14,35,7,16
2023-01-17 03:00:00,23,31,10,7,13
2023-01-17 04:00:00,33,14,39,8,10
2023-01-17 05:00:00,24,31,16,19,12
2023-01-17 06:00:00,13,11,12,15,14
2023-01-17 07:00:00,22,26,33,17,15
2023-01-17 08:00:00,40,35,18,6,12
2023-01-17 09:00:00,23,24,34,11,17
2023-01-17 10:00:00,30,36,30,17,16
2023-01-17 11:00:00,46,56,53,19,16
2023-01-17 12:00:00,63,40,41,33,18
2023-01-17 13:00:00,32,44,27,30,16
2023-01-17 14:00:00,67,64,29,40,21
2023-01-17 15:00:00,98,73,79,48,26
2023-01-17 16:00:00,136,64,71,52,26
2023-01-17 17:00:00,139,95,88,50,23
2023-01-17 18:00:00,98,88,94,68,21
2023-01-17 19:00:00,146,98,96,54,21
2023-01-17 20:00:00,144,71,85,44,20
2023-01-17 21:00:00,120,91,68,43,24
2023-01-17 22:00:00,31,61,30,23,20
2023-01-17 23:00:00,68,70,60,28,20
2023-01-18 00:00:00,33,60,59,27,23
2023-01-18 01:00:00,36,26,19,19,19
2023-01-18 02:00:00,13,35,35,17,14
2023-01-18 03:00:00,22,32,23,7,14
2023-01-18 04:00:00,44,19,37,19,11
2023-01-18 05:00:00,23,30,23,13,14
2023-01-18 06:00:00,22,15,30,13,18
2023-01-18 07:00:00,10,37,13,16,16
2023-01-18 08:00:00,24,17,30,14,16
2023-01-18 09:00:00,43,30,28,5,12
2023-01-18 10:00:00,44,11,17,6,19
2023-01-18 11:00:00,93,48,27,16,19
2023-01-18 12:00:00,57,57,25,33,24
2023-01-18 13:00:00,91,71,57,30,22
2023-01-18 14:00:00,92,42,59,21,21
2023-01-18 15:00:00,97,63,96,31,24
2023-01-18 16:00:00,100,95,72,52,22
2023-01-18 17:00:00,102,70,92,49,27
2023-01-18 18:00:00,142,62,82,64,28
2023-01-18 19:00:00,142,92,64,37,23
2023-01-18 20:00:00,93,73,89,33,25
2023-01-18 21:00:00,144,71,70,46,25
2023-01-18 22:00:00,76,71,61,28,16
2023-01-18 23:00:00,86,40,62,22,16
2023-01-19 00:00:00,71,63,32,42,19
2023-01-19 01:00:00,46,15,20,7,14
2023-01-19 02:00:00,30,18,26,10,11
2023-01-19 03:00:00,31,35,34,8,10
2023-01-19 04:00:00,24,11,26,7,19
2023-01-19 05:00:00,29,15,18,10,13
2023-01-19 06:00:00,25,38,33,19,14
2023-01-19 07:00:00,27,24,27,10,10
2023-01-19 08:00:00,18,27,17,15,11
2023-01-19 09:00:00,22,37,15,14,17
2023-01-19 10:00:00,25,32,27,11,18
2023-01-19 11:00:00,44,71,67,35,15
2023-01-19 12:00:00,58,51,44,41,20
2023-01-19 13:00:00,52,70,54,42,22
2023-01-19 14:00:00,45,63,61,16,19
2023-01-19 15:00:00,80,75,93,63,21
2023-01-19 16:00:00,113,87,84,40,23
2023-01-19 17:00:00,102,74,63,56,27
2023-01-19 18:00:00,148,65,64,67,29
2023-01-19 19:00:00,110,86,73,43,26
2023-01-19 20:00:00,87,64,97,40,26
2023-01-19 21:00:00,110,62,78,36,21
2023-01-19 22:00:00,59,45,73,23,21
2023-01-19 23:00:00,38,73,62,17,20
2023-01-20 00:00:00,38,30,70,44,16
2023-01-20 01:00:00,25,37,35,14,11
2023-01-20 02:00:00,49,34,27,15,18
2023-01-20 03:00:00,17,38,13,19,18
2023-01-20 04:00:00,10,23,20,17,11
2023-01-20 05:00:00,21,15,36,6,17
2023-01-20 06:00:00,26,37,29,10,15
2023-01-20 07:00:00,38,19,22,16,16
2023-01-20 08:00:00,41,11,13,15,11
2023-01-20 09:00:00,46,29,39,11,12
2023-01-20 10:00:00,37,20,11,12,11
2023-01-20 11:00:00,80,46,63,23,23
2023-01-20 12:00:00,38,54,72,42,21
2023-01-20 13:00:00,39,58,42,36,22
2023-01-20 14:00:00,47,41,55,27,23
2023-01-20 15:00:00,115,89,64,41,20
2023-01-20 16:00:00,102,68,75,41,22
2023-01-20 17:00:00,96,80,97,67,23
2023-01-20 18:00:00,106,67,84,39,21
2023-01-20 19:00:00,141,88,95,66,20
2023-01-20 20:00:00,126,77,60,43,22
2023-01-20 21:00:00,92,91,99,55,26
2023-01-20 22:00:00,82,74,28,31,21
2023-01-20 23:00:00,45,56,40,15,19
2023-01-21 00:00:00,71,45,46,26,10
2023-01-21 01:00:00,26,11,7,5,9
2023-01-21 02:00:00,30,27,16,6,8
2023-01-21 03:00:00,38,15,29,7,5
2023-01-21 04:00:00,39,10,11,8,8
2023-01-21 05:00:00,31,20,5,7,6
2023-01-21 06:00:00,17,28,9,7,6
2023-01-21 07:00:00,36,18,26,6,6
2023-01-21 08:00:00,22,17,8,7,6
2023-01-21 09:00:00,39,26,19,7,8
2023-01-21 10:00:00,25,26,23,8,9
2023-01-21 11:00:00,48,35,47,13,6
2023-01-21 12:00:00,51,53,25,18,7
2023-01-21 13:00:00,68,42,45,20,7
2023-01-21 14:00:00,47,15,38,13,9
2023-01-21 15:00:00,124,71,57,29,14
2023-01-21 16:00:00,79,86,76,48,9
2023-01-21 17:00:00,115,59,63,20,13
2023-01-21 18:00:00,70,53,84,58,10
2023-01-21 19:00:00,94,75,50,52,7
2023-01-21 20:00:00,60,59,61,32,11
2023-01-21 21:00:00,62,68,88,49,9
2023-01-21 22:00:00,69,31,21,18,11
2023-01-21 23:00:00,32,36,32,34,7
2023-01-22 00:00:00,67,37,25,19,7
2023-01-22 01:00:00,14,9,18,7,8
2023-01-22 02:00:00,35,15,8,6,7
2023-01-22 03:00:00,15,23,22,5,9
2023-01-22 04:00:00,33,27,21,9,6
2023-01-22 05:00:00,31,12,29,8,6
2023-01-22 06:00:00,32,7,6,7,5
2023-01-22 07:00:00,10,5,16,7,8
2023-01-22 08:00:00,22,28,22,5,8
2023-01-22 09:00:00,23,22,21,7,7
2023-01-22 10:00:00,16,29,12,6,9
2023-01-22 11:00:00,64,36,47,30,11
2023-01-22 12:00:00,74,40,52,26,10
2023-01-22 13:00:00,25,17,50,24,6
2023-01-22 14:00:00,73,39,52,37,6
2023-01-22 15:00:00,114,68,54,48,14
2023-01-22 16:00:00,99,81,50,58,13
2023-01-22 17:00:00,83,59,51,22,14
2023-01-22 18:00:00,68,72,74,20,10
2023-01-22 19:00:00,128,54,58,31,12
2023-01-22 20:00:00,70,68,63,28,14
2023-01-22 21:00:00,73,52,79,29,7
2023-01-22 22:00:00,57,23,25,18,10
2023-01-22 23:00:00,34,35,53,33,10
2023-01-23 00:00:00,83,28,60,19,15
2023-01-23 01:00:00,48,32,11,15,19
2023-01-23 02:00:00,43,24,25,8,16
2023-01-23 03:00:00,21,16,18,12,12
2023-01-23 04:00:00,23,34,37,19,11
2023-01-23 05:00:00,22,19,32,12,17
2023-01-23 06:00:00,34,35,29,12,14
2023-01-23 07:00:00,17,22,28,15,18
2023-01-23 08:00:00,10,21,27,14,11
2023-01-23 09:00:00,15,18,29,16,14
2023-01-23 10:00:00,49,35,38,17,14
2023-01-23 11:00:00,68,58,66,25,17
2023-01-23 12:00:00,53,68,64,43,24
2023-01-23 13:00:00,46,65,51,34,22
2023-01-23 14:00:00,93,58,28,29,17
2023-01-23 15:00:00,83,91,73,47,24
2023-01-23 16:00:00,87,98,62,59,26
2023-01-23 17:00:00,132,87,87,50,22
2023-01-23 18:00:00,138,87,70,42,28
2023-01-23 19:00:00,140,66,97,37,22
2023-01-23 20:00:00,105,81,95,55,23
2023-01-23 21:00:00,142,63,70,38,27
2023-01-23 22:00:00,42,46,52,44,23
2023-01-23 23:00:00,59,38,68,26,24
2023-01-24 00:00:00,54,34,54,28,17
2023-01-24 01:00:00,42,31,25,8,14
2023-01-24 02:00:00,33,37,25,14,11
2023-01-24 03:00:00,40,15,19,15,12
2023-01-24 04:00:00,33,20,19,15,11
2023-01-24 05:00:00,18,24,10,14,14
2023-01-24 06:00:00,27,18,33,7,17
2023-01-24 07:00:00,10,27,25,12,12
2023-01-24 08:00:00,48,33,27,17,15
2023-01-24 09:00:00,41,24,14,19,17
2023-01-24 10:00:00,18,14,38,14,14
2023-01-24 11:00:00,53,60,65,34,16
2023-01-24 12:00:00,76,70,33,37,18
2023-01-24 13:00:00,49,70,68,29,22
2023-01-24 14:00:00,67,36,74,41,17
2023-01-24 15:00:00,119,99,83,68,24
2023-01-24 16:00:00,119,64,74,53,28
2023-01-24 17:00:00,91,91,65,47,23
2023-01-24 18:00:00,128,67,67,33,26
2023-01-24 19:00:00,119,82,61,68,20
2023-01-24 20:00:00,140,66,60,31,25
2023-01-24 21:00:00,117,99,67,47,20
2023-01-24 22:00:00,37,26,67,23,17
2023-01-24 23:00:00,94,27,45,26,18
2023-01-25 00:00:00,65,26,60,16,20
2023-01-25 01:00:00,15,27,31,9,18
2023-01-25 02:00:00,47,17,24,8,17
2023-01-25 03:00:00,40,33,10,17,16
2023-01-25 04:00:00,18,20,28,14,19
2023-01-25 05:00:00,13,38,21,8,13
2023-01-25 06:00:00,46,15,36,15,15
2023-01-25 07:00:00,10,22,34,19,15
2023-01-25 08:00:00,10,11,18,12,11
2023-01-25 09:00:00,49,10,19,16,16
2023-01-25 10:00:00,24,38,18,9,11
2023-01-25 11:00:00,73,27,63,17,16
2023-01-25 12:00:00,78,53,30,24,17
2023-01-25 13:00:00,43,29,46,36,21
2023-01-25 14:00:00,91,59,65,40,24
2023-01-25 15:00:00,147,91,66,31,27
2023-01-25 16:00:00,130,90,78,58,29
2023-01-25 17:00:00,85,94,93,35,26
2023-01-25 18:00:00,115,85,78,56,27
2023-01-25 19:00:00,96,83,98,48,29
2023-01-25 20:00:00,93,82,75,35,25
2023-01-25 21:00:00,101,69,97,36,24
2023-01-25 22:00:00,39,61,34,35,23
2023-01-25 23:00:00,44,32,27,33,21
2023-01-26 00:00:00,57,60,63,39,22
2023-01-26 01:00:00,35,33,11,17,19
2023-01-26 02:00:00,45,36,18,11,13
2023-01-26 03:00:00,23,26,29,11,15
2023-01-26 04:00:00,21,22,14,16,15
2023-01-26 05:00:00,33,16,39,16,17
